City,Year,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Hillsboro Beach,2019,2038,2,0,0,1,1,12,0,11,1,0
Holly Hill,2019,12403,46,0,2,10,34,335,59,236,40,1
Hollywood,2019,156643,456,10,45,148,253,4159,536,3187,436,5
Holmes Beach,2019,4355,0,0,0,0,0,42,5,36,1,0
Homestead,2019,71757,684,4,35,303,342,2272,184,1957,131,8
Howey-in-the-Hills,2019,1185,3,0,0,0,3,15,2,12,1,0
Hypoluxo,2019,2808,2,0,0,2,0,38,3,29,6,0
Indialantic,2019,2937,4,0,0,1,3,63,6,50,7,0
Indian Creek Village,2019,92,0,0,0,0,0,0,0,0,0,0
Indian Harbour Beach,2019,8616,4,0,0,1,3,85,5,76,4,0
Indian River Shores,2019,4302,0,0,0,0,0,9,0,9,0,0
Indian Rocks Beach,2019,4315,8,0,2,0,6,67,6,55,6,0
Indian Shores,2019,3816,1,0,0,0,1,23,1,21,1,0
Jacksonville,2019,909142,5886,129,554,1294,3909,30088,4906,22373,2809,82
Jacksonville Beach,2019,23974,113,1,24,21,67,856,58,743,55,1
Jasper,2019,4057,5,0,0,0,5,40,7,31,2,0
Jay,2019,632,2,0,1,1,0,7,1,5,1,0
Jennings,2019,862,3,0,0,0,3,5,1,4,0,0
Juno Beach,2019,3709,1,0,0,1,0,37,8,25,4,0
Jupiter,2019,66906,118,2,17,22,77,1035,79,895,61,4
Jupiter Inlet Colony,2019,459,1,0,0,0,1,0,0,0,0,0
Jupiter Island,2019,934,1,0,0,0,1,6,0,6,0,0
Kenneth City,2019,5074,18,0,4,3,11,134,7,117,10,0
Key Biscayne,2019,13248,5,0,1,2,2,175,11,146,18,0
Key Colony Beach,2019,816,0,0,0,0,0,7,1,6,0,0
Key West,2019,24554,96,0,17,11,68,734,72,591,71,1
Kissimmee,2019,75544,368,3,42,54,269,1899,257,1504,138,4
Lady Lake,2019,15835,16,0,1,0,15,281,19,237,25,0
Lake Alfred,2019,6123,3,0,0,0,3,37,12,21,4,0
Lake City,2019,12141,161,2,4,28,127,781,129,639,13,2
Lake Clarke Shores,2019,3657,4,0,0,0,4,43,7,33,3,0
Lake Hamilton,2019,1472,2,0,0,0,2,55,20,30,5,0
Lake Helen,2019,2837,3,0,0,0,3,28,5,18,5,0
Lakeland,2019,112237,350,7,63,97,183,3230,438,2589,203,7
Lake Mary,2019,17778,20,0,2,1,17,204,35,154,15,0
Lake Park,2019,8670,86,2,7,32,45,700,40,605,55,2
Lake Placid,2019,2459,14,0,1,5,8,105,14,91,0,0
Lake Wales,2019,16901,55,0,1,8,46,358,54,275,29,1
Lake Worth,2019,38703,409,6,37,145,221,1201,183,884,134,4
Lantana,2019,12033,78,0,8,23,47,561,48,470,43,0
Largo,2019,85740,329,5,71,74,179,2348,202,1991,155,10
Lauderdale-by-the-Sea,2019,6745,17,1,3,0,13,96,6,82,8,0
Lauderdale Lakes,2019,36784,329,2,28,77,222,965,103,750,112,8
Lauderhill,2019,72746,571,13,42,103,413,2131,361,1541,229,6
Lawtey,2019,722,4,0,0,0,4,5,2,3,0,1
Leesburg,2019,23527,172,1,20,31,120,1194,199,895,100,3
Lighthouse Point,2019,11403,9,0,1,4,4,183,13,153,17,0
Live Oak,2019,6988,64,0,0,8,56,160,76,71,13,0
Longboat Key,2019,7379,0,0,0,0,0,59,7,52,0,0
Longwood,2019,15320,44,0,4,9,31,399,65,305,29,0
Loxatachee Groves,2019,3614,11,0,1,1,9,102,9,76,17,0
Lynn Haven,2019,21859,29,0,5,4,20,310,38,250,22,0
Madeira Beach,2019,4346,14,0,2,1,11,142,9,129,4,0
Maitland,2019,18222,28,0,2,3,23,339,85,225,29,0
Manalapan,2019,474,3,0,0,0,3,18,3,15,0,0
Mangonia Park,2019,2033,33,0,3,11,19,177,10,160,7,1
Marco Island,2019,18124,7,0,1,2,4,83,7,74,2,0
Margate,2019,59371,99,1,9,28,61,935,99,731,105,2
Marianna,2019,7034,65,0,6,7,52,185,57,110,18,0
Mascotte,2019,5977,49,2,1,3,43,129,52,72,5,1
Medley,2019,896,11,0,0,3,8,179,28,130,21,0
Melbourne,2019,83668,579,1,80,87,411,2802,439,2219,144,15
Melbourne Beach,2019,3313,2,0,0,0,2,30,3,26,1,0
Melbourne Village,2019,702,0,0,0,0,0,14,1,12,1,0
Mexico Beach,2019,1243,4,0,0,0,4,29,8,19,2,0
Miami,2019,480505,2850,43,152,769,1886,17624,1771,14219,1634,37
Miami Beach,2019,92185,852,6,92,284,470,6977,717,5894,366,10
Miami Gardens,2019,113786,841,26,14,244,557,4311,371,3467,473,12
Miami Lakes,2019,31907,33,0,3,14,16,600,34,499,67,0
Miami Shores,2019,10572,23,0,1,11,11,572,57,493,22,0
Miami Springs,2019,14374,36,0,6,11,19,381,39,301,41,0
Milton,2019,10460,20,0,6,3,11,187,73,102,12,0
Minneola,2019,12506,15,0,2,3,10,108,21,71,16,1
Miramar,2019,143334,310,3,29,71,207,1947,191,1490,266,3
Monticello,2019,2413,6,0,0,2,4,60,23,35,2,0
Mount Dora,2019,14491,64,0,2,10,52,568,103,426,39,0
Naples,2019,22369,11,1,2,1,7,323,29,275,19,0
Neptune Beach,2019,7332,12,0,0,3,9,112,14,90,8,0
New Port Richey,2019,16703,132,0,10,22,100,505,79,407,19,1
New Smyrna Beach,2019,27743,67,0,0,10,57,562,107,424,31,0
Niceville,2019,15947,11,0,1,0,10,204,24,169,11,0
North Bay Village,2019,8425,13,0,1,4,8,104,3,78,23,0
