City,Year,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Lady Lake,2018,15517,16,0,0,2,14,227,27,178,22,0
Lake Alfred,2018,6084,9,0,0,1,8,91,29,59,3,0
Lake City,2018,12182,148,1,15,22,110,858,133,697,28,1
Lake Clarke Shores,2018,3632,7,0,0,1,6,50,13,35,2,0
Lake Hamilton,2018,1418,10,0,0,4,6,50,15,31,4,1
Lake Helen,2018,2802,7,0,0,2,5,16,3,13,0,0
Lakeland,2018,109616,361,8,47,106,200,3417,477,2737,203,0
Lake Mary,2018,16896,36,0,7,4,25,270,46,211,13,2
Lake Park,2018,8716,75,2,3,28,42,825,84,685,56,0
Lake Placid,2018,2282,14,0,1,3,10,109,17,91,1,1
Lake Wales,2018,16349,57,0,12,7,38,369,30,315,24,2
Lake Worth,2018,38577,369,4,39,134,192,1153,242,784,127,8
Lantana,2018,12006,91,0,12,25,54,612,29,534,49,1
Largo,2018,85568,322,3,66,72,181,2593,282,2126,185,16
Lauderdale-by-the-Sea,2018,6615,15,0,1,8,6,120,17,91,12,0
Lauderdale Lakes,2018,36575,312,2,21,92,197,1209,154,890,165,1
Lauderhill,2018,72694,551,13,54,134,350,2313,394,1651,268,6
Lawtey,2018,722,2,0,0,0,2,2,1,1,0,0
Leesburg,2018,23029,175,1,23,31,120,1214,186,942,86,1
Lighthouse Point,2018,11372,12,0,1,4,7,173,14,149,10,0
Live Oak,2018,6902,38,0,0,8,30,116,58,52,6,0
Longboat Key,2018,7351,2,0,1,1,0,54,2,51,1,0
Longwood,2018,15273,46,1,4,6,35,441,75,342,24,2
Lynn Haven,2018,21285,28,1,5,0,22,202,39,150,13,0
Madeira Beach,2018,4427,26,0,4,1,21,140,7,123,10,0
Madison,2018,2775,1,0,0,0,1,15,5,10,0,0
Maitland,2018,17846,37,0,4,4,29,303,67,215,21,1
Manalapan,2018,469,1,0,1,0,0,15,0,10,5,0
Mangonia Park,2018,2026,45,0,7,16,22,196,14,166,16,0
Marco Island,2018,18122,6,0,0,1,5,98,11,82,5,0
Margate,2018,59186,98,1,4,37,56,997,103,793,101,1
Marianna,2018,7251,85,3,9,6,67,133,51,80,2,1
Mascotte,2018,5693,37,1,0,4,32,91,16,62,13,1
Medley,2018,898,17,0,0,4,13,203,26,142,35,0
Melbourne,2018,82844,601,5,65,101,430,2941,440,2357,144,13
Melbourne Beach,2018,3304,1,0,0,0,1,15,4,11,0,0
Melbourne Village,2018,703,0,0,0,0,0,23,0,23,0,0
Mexico Beach,2018,1217,4,0,1,0,3,28,2,24,2,1
Miami,2018,473047,2978,46,131,828,1973,16837,2057,13136,1644,56
Miami Beach,2018,92928,871,5,96,279,491,6947,646,5902,399,11
Miami Gardens,2018,114670,816,24,17,228,547,4530,456,3608,466,16
Miami Lakes,2018,31323,33,3,4,10,16,653,44,518,91,0
Miami Shores,2018,10673,34,1,2,16,15,523,59,421,43,0
Miami Springs,2018,14508,48,1,3,11,33,446,65,334,47,0
Midway,2018,3368,1,0,1,0,0,16,0,15,1,0
Milton,2018,10158,18,0,5,4,9,195,64,119,12,0
Minneola,2018,11859,19,0,3,3,13,114,22,83,9,0
Miramar,2018,143103,337,6,39,84,208,2128,208,1644,276,5
Monticello,2018,2380,7,1,0,1,5,49,29,19,1,0
Mount Dora,2018,14179,67,0,7,11,49,548,82,465,1,0
Naples,2018,22308,9,0,0,2,7,320,19,277,24,0
Neptune Beach,2018,7317,13,0,0,3,10,108,14,86,8,0
New Port Richey,2018,16459,160,0,10,25,125,599,112,455,32,0
New Smyrna Beach,2018,26937,96,1,2,9,84,684,132,492,60,1
Niceville,2018,15621,23,0,0,2,21,187,19,162,6,0
North Bay Village,2018,8499,11,0,0,2,9,123,12,91,20,0
North Lauderdale,2018,44650,246,1,17,50,178,805,120,591,94,1
North Miami,2018,62585,524,3,26,158,337,2329,331,1727,271,7
North Miami Beach,2018,44485,323,6,23,115,179,1683,257,1318,108,2
North Palm Beach,2018,13214,12,0,0,5,7,105,12,79,14,0
North Port,2018,67682,117,4,34,18,61,1186,132,1026,28,0
North Redington Beach,2018,1486,0,0,0,0,0,14,1,12,1,0
Oakland,2018,3066,8,0,1,2,5,56,16,30,10,0
Oakland Park,2018,45564,277,1,18,92,166,1606,261,1157,188,1
Ocala,2018,59505,405,7,58,106,234,2871,406,2286,179,19
Ocean Ridge,2018,1966,3,0,0,0,3,27,6,13,8,0
Ocoee,2018,48128,162,2,12,39,109,1430,265,1098,67,3
Okeechobee,2018,5740,21,0,2,10,9,244,30,202,12,0
Oldsmar,2018,14763,31,0,7,5,19,336,17,306,13,0
Opa Locka,2018,16663,391,8,7,88,288,880,169,574,137,0
Orange City,2018,11805,45,1,8,13,23,782,79,672,31,1
Orange Park,2018,8750,23,1,4,4,14,179,26,142,11,0
Orlando,2018,286679,2282,39,200,628,1415,13803,1619,10965,1219,13
Ormond Beach,2018,43315,131,0,12,16,103,1367,184,1088,95,0
Oviedo,2018,41937,66,0,23,10,33,374,68,293,13,2
Pahokee,2018,6305,49,4,4,7,34,174,40,120,14,1
Palatka,2018,10365,110,3,3,14,90,630,64,542,24,0
Palm Bay,2018,112902,404,9,64,43,288,2109,402,1583,124,7
Palm Beach,2018,8837,13,0,1,2,10,98,11,77,10,0
Palm Beach Gardens,2018,55999,83,2,14,25,42,1409,125,1210,74,1
Palm Beach Shores,2018,1260,6,0,0,1,5,58,32,24,2,0
Palmetto,2018,13807,72,0,6,5,61,439,63,351,25,1
Palmetto Bay,2018,24890,42,0,5,12,25,711,85,607,19,2
Palm Springs,2018,25146,126,0,6,41,79,981,113,780,88,3
Panama City,2018,37318,234,2,4,45,183,2150,423,1467,260,3
Panama City Beach,2018,12935,110,2,20,21,67,960,90,866,4,1
Parker,2018,4614,15,0,2,2,11,145,32,103,10,1
Parkland,2018,33760,38,17,1,2,18,240,19,180,41,0
Pembroke Park,2018,6674,54,1,0,23,30,282,39,217,26,1
Pembroke Pines,2018,173053,314,1,26,74,213,3333,232,2861,240,2
Pensacola,2018,52672,285,1,36,56,192,2012,261,1646,105,3
Perry,2018,6926,90,3,2,4,81,258,71,175,12,1
Pinellas Park,2018,53383,224,3,41,57,123,2423,247,2037,139,8
Plantation,2018,95204,239,1,15,83,140,2706,265,2172,269,2
Plant City,2018,39305,186,0,13,26,147,1198,130,958,110,4
Pompano Beach,2018,112045,876,6,91,312,467,4307,608,3121,578,5
Ponce Inlet,2018,3272,8,0,1,0,7,61,10,42,9,0
Port Orange,2018,64208,25,1,1,6,17,1397,166,1166,65,1
Port Richey,2018,2855,15,0,1,7,7,193,18,165,10,0
Port St. Joe,2018,3593,8,0,0,0,8,22,8,13,1,0
Port St. Lucie,2018,193137,218,2,26,31,159,1851,256,1523,72,4
Punta Gorda,2018,20170,11,0,1,2,8,330,28,290,12,0
Quincy,2018,7476,74,4,3,14,53,273,104,153,16,5
Redington Beaches,2018,1487,1,0,0,0,1,15,0,14,1,0
Riviera Beach,2018,34991,413,9,18,65,321,1333,212,970,151,3
Rockledge,2018,27852,61,0,7,6,48,408,72,309,27,1
Royal Palm Beach,2018,39253,61,2,7,9,43,759,24,690,45,1
Safety Harbor,2018,17985,24,0,7,2,15,227,25,190,12,1
Sanford,2018,60154,421,5,57,83,276,2133,356,1661,116,2
Sanibel,2018,7498,2,0,2,0,0,69,11,58,0,0
Sarasota,2018,57718,337,3,22,82,230,1877,301,1442,134,11
Satellite Beach,2018,11197,3,0,0,0,3,41,12,27,2,0
Sea Ranch Lakes,2018,749,0,0,0,0,0,10,0,10,0,0
Sebastian,2018,25672,31,0,4,3,24,279,35,232,12,1
Sebring,2018,10741,80,0,6,6,68,431,95,326,10,2
Seminole,2018,18795,24,0,5,8,11,604,31,544,29,2
Sewall's Point,2018,2221,0,0,0,0,0,5,0,5,0,0
South Bay,2018,5198,21,1,0,9,11,87,20,54,13,1
South Daytona,2018,13038,56,0,1,9,46,319,81,200,38,1
South Miami,2018,12365,41,0,3,13,25,487,91,375,21,2
South Palm Beach,2018,1453,0,0,0,0,0,2,1,1,0,0
South Pasadena,2018,5141,7,0,0,1,6,120,5,115,0,0
Southwest Ranches,2018,8046,3,0,0,0,3,128,8,103,17,0
Springfield,2018,9514,37,0,4,6,27,283,70,182,31,1
Starke,2018,5361,44,0,0,6,38,149,15,124,10,0
St. Augustine,2018,14427,93,0,14,14,65,571,67,476,28,1
St. Augustine Beach,2018,7120,18,0,1,1,16,114,19,93,2,0
St. Cloud,2018,53560,76,0,16,10,50,666,123,504,39,5
St. Pete Beach,2018,9693,23,0,5,5,13,281,17,250,14,0
St. Petersburg,2018,265942,1660,21,133,368,1138,8784,1206,6832,746,27
Stuart,2018,16689,50,0,6,6,38,493,56,428,9,1
Sunny Isles Beach,2018,22563,34,0,6,10,18,302,27,245,30,0
Sunrise,2018,95812,186,2,21,57,106,2350,187,1998,165,1
Surfside,2018,5878,6,0,1,0,5,102,10,88,4,0
Sweetwater,2018,21181,17,0,0,8,9,341,18,297,26,0
Tallahassee,2018,192443,1404,16,213,307,868,8695,1379,6549,767,6
Tamarac,2018,66454,206,3,24,54,125,1239,145,985,109,1
Tampa,2018,392945,1598,27,100,332,1139,6576,1047,5069,460,41
Tarpon Springs,2018,25603,51,2,10,4,35,530,43,462,25,3
Tavares,2018,17318,48,1,7,8,32,250,95,152,3,0
Temple Terrace,2018,26777,67,0,10,16,41,571,103,430,38,0
Tequesta,2018,6161,2,0,0,0,2,35,14,19,2,0
Titusville,2018,46650,289,3,24,45,217,1397,322,918,157,5
Treasure Island,2018,6972,11,0,2,2,7,179,19,150,10,0
Trenton,2018,2106,6,2,1,1,2,24,7,16,1,0
Umatilla,2018,3786,5,0,1,0,4,94,22,67,5,0
Valparaiso,2018,4936,8,0,0,0,8,44,22,17,5,0
Venice,2018,23362,25,0,1,2,22,323,38,269,16,0
Vero Beach,2018,17172,34,3,7,8,16,415,71,332,12,0
Village of Pinecrest,2018,19854,26,0,1,12,13,473,39,409,25,0
Virginia Gardens,2018,2486,3,0,0,0,3,31,4,23,4,0
Wauchula,2018,4927,12,0,2,1,9,166,48,107,11,0
Welaka,2018,701,1,0,0,0,1,15,3,12,0,0
Wellington,2018,66080,81,0,10,17,54,832,44,709,79,1
West Melbourne,2018,22665,27,2,1,3,21,550,53,467,30,0
West Miami,2018,8486,11,0,0,4,7,78,22,43,13,0
Weston,2018,71744,41,1,10,8,22,374,49,277,48,1
West Palm Beach,2018,111659,1026,27,77,354,568,4249,578,3290,381,20
West Park,2018,15297,109,2,4,28,75,490,59,361,70,3
White Springs,2018,768,6,0,1,1,4,21,4,15,2,0
Wildwood,2018,7120,33,1,5,3,24,222,78,130,14,1
Williston,2018,2702,20,0,2,6,12,110,14,88,8,0
Wilton Manors,2018,12941,54,0,1,14,39,427,53,354,20,3
Windermere,2018,3478,2,0,0,0,2,32,15,16,1,0
Winter Garden,2018,44921,155,0,13,31,111,1018,171,791,56,1
Winter Haven,2018,42268,236,0,31,27,178,1032,148,797,87,7
Winter Park,2018,31323,60,0,13,12,35,767,120,599,48,7
Winter Springs,2018,37137,57,1,13,6,37,274,56,199,19,0
Zephyrhills,2018,15504,47,0,10,7,30,612,66,526,20,3
Alachua,2017,10037,40,0,4,6,30,266,45,211,10,2
Altamonte Springs,2017,43833,136,1,16,29,90,1369,147,1147,75,2
Apalachicola,2017,2345,3,0,0,0,3,5,1,4,0,0
Apopka,2017,50833,225,1,22,51,151,1881,350,1387,144,2
Arcadia,2017,7992,71,5,4,6,56,175,82,83,10,1
Atlantic Beach,2017,13589,52,0,3,7,42,356,55,269,32,0
Atlantis,2017,2141,2,0,0,1,1,53,2,47,4,0
Auburndale,2017,15903,35,0,1,12,22,502,79,403,20,0
Aventura,2017,38039,60,0,4,29,27,1942,90,1790,62,4
Bal Harbour Village,2017,3114,2,0,0,0,2,81,8,70,3,0
Bartow,2017,19889,98,0,15,13,70,660,106,521,33,2
Bay Harbor Islands,2017,6049,8,0,1,3,4,49,3,37,9,1
Belleair,2017,4048,2,0,1,1,0,101,11,80,10,0
Belleair Beach,2017,1634,1,0,0,0,1,25,8,13,4,0
Belleair Bluffs,2017,2125,2,0,0,2,0,32,3,26,3,0
Belle Glade,2017,19280,238,3,8,26,201,887,184,627,76,4
Belle Isle,2017,6973,10,0,3,2,5,92,22,56,14,0
Belleview,2017,4926,36,1,3,10,22,285,91,187,7,1
Biscayne Park,2017,3218,9,0,0,3,6,97,26,60,11,0
Blountstown,2017,2499,9,0,0,1,8,47,8,39,0,0
Boca Raton,2017,98069,223,1,27,81,114,2503,435,1871,197,1
Bonifay,2017,2742,9,0,0,1,8,23,3,14,6,0
Bowling Green,2017,2904,5,0,0,0,5,58,18,36,4,0
Boynton Beach,2017,76845,445,9,15,175,246,3176,384,2454,338,6
Bradenton,2017,56821,298,4,27,59,208,1444,199,1166,79,5
Bradenton Beach,2017,1278,2,0,1,1,0,28,4,24,0,0
Brooksville,2017,8047,55,0,4,7,44,306,29,268,9,0
Bunnell,2017,2900,30,1,1,3,25,115,13,92,10,0
Cape Coral,2017,184346,235,3,16,41,175,2888,570,2148,170,2
Carrabelle,2017,2742,0,0,0,0,0,33,16,16,1,0
Casselberry,2017,27218,148,1,12,24,111,999,128,828,43,8
Center Hill,2017,1423,0,0,0,0,0,3,0,3,0,0
Chattahoochee,2017,3082,11,2,2,0,7,52,15,24,13,0
Chiefland,2017,2222,3,0,0,0,3,227,130,94,3,0
Chipley,2017,3576,9,0,0,1,8,137,13,121,3,0
Clearwater,2017,115295,578,3,85,141,349,3652,494,2909,249,16
Clermont,2017,34412,95,1,6,22,66,823,167,621,35,2
Clewiston,2017,7735,35,0,0,4,31,211,56,141,14,0
Cocoa,2017,18265,219,1,11,55,152,956,165,728,63,7
Cocoa Beach,2017,11851,80,0,6,3,71,516,61,425,30,0
Coconut Creek,2017,60533,81,3,12,15,51,1153,162,859,132,3
Cooper City,2017,36694,22,0,6,3,13,537,67,421,49,1
Coral Gables,2017,51487,75,3,4,22,46,1358,176,1106,76,2
Coral Springs,2017,131558,249,0,47,68,134,2609,249,2149,211,3
Crescent City,2017,1544,5,0,0,2,3,56,13,40,3,0
Crestview,2017,24022,117,0,17,16,84,868,189,605,74,6
Cross City,2017,1706,11,0,0,0,11,29,11,14,4,0
Cutler Bay,2017,45458,115,1,9,39,66,1288,186,1032,70,1
Dade City,2017,7214,70,0,7,11,52,307,52,239,16,2
Dania Beach,2017,31718,220,1,18,75,126,1129,177,852,100,6
Davenport,2017,4201,3,0,0,0,3,61,16,40,5,0
Davie,2017,103555,244,0,33,82,129,2722,267,2168,287,13
Daytona Beach,2017,67564,748,12,23,82,631,3819,497,3027,295,6
Daytona Beach Shores,2017,4518,14,1,1,1,11,193,29,146,18,0
Deerfield Beach,2017,80552,324,3,35,111,175,2360,328,1771,261,1
De Funiak Springs,2017,6489,23,1,2,5,15,111,13,94,4,0
Deland,2017,32406,184,2,0,44,138,1129,187,844,98,1
Delray Beach,2017,68533,409,2,36,93,278,2587,366,1949,272,1
Doral,2017,60239,66,1,6,9,50,1756,160,1465,131,2
Dunedin,2017,36559,53,0,12,17,24,648,79,537,32,1
Dunnellon,2017,1815,1,0,0,1,0,96,26,67,3,0
Eatonville,2017,2297,40,1,4,5,30,117,16,93,8,1
Edgewater,2017,22301,28,1,0,7,20,474,100,344,30,4
Edgewood,2017,2914,5,1,1,0,3,46,15,27,4,0
El Portal,2017,2493,5,0,0,4,1,73,28,35,10,0
Eustis,2017,21161,54,0,6,25,23,639,115,481,43,1
Fellsmere,2017,5608,8,0,0,2,6,98,24,70,4,0
Fernandina Beach,2017,12606,28,0,5,1,22,260,42,204,14,1
Flagler Beach,2017,5087,6,1,1,1,3,87,22,61,4,0
Florida City,2017,12215,278,2,3,78,195,968,83,821,64,0
Fort Lauderdale,2017,180972,1072,15,81,429,547,10006,1657,7424,925,15
Fort Myers,2017,79918,752,10,53,187,502,2207,374,1607,226,5
Fort Pierce,2017,45858,312,8,30,78,196,1460,261,1079,120,12
Fort Walton Beach,2017,22413,73,1,14,16,42,617,92,460,65,1
Fruitland Park,2017,6435,15,0,3,0,12,104,26,75,3,0
Gainesville,2017,132777,952,4,164,176,608,4778,500,3915,363,12
Golden Beach,2017,976,0,0,0,0,0,15,5,9,1,0
Graceville,2017,2202,1,0,0,0,1,57,21,31,5,0
Greenacres City,2017,40417,159,2,16,44,97,958,115,771,72,4
Green Cove Springs,2017,7800,43,0,13,8,22,128,22,94,12,0
Groveland,2017,13267,42,0,5,6,31,207,67,129,11,0
Gulf Breeze,2017,6586,12,0,1,2,9,130,21,107,2,0
Gulfport,2017,12473,38,1,4,10,23,540,90,401,49,1
Gulf Stream,2017,860,0,0,0,0,0,28,2,24,2,0
Haines City,2017,23968,29,0,2,7,20,518,72,422,24,0
Hallandale Beach,2017,39896,227,3,17,70,137,1340,183,1049,108,1
Hialeah,2017,238260,473,6,33,154,280,5274,593,3996,685,24
Hialeah Gardens,2017,24192,33,0,1,11,21,495,45,371,79,3
Highland Beach,2017,3797,2,0,1,0,1,38,5,27,6,0
High Springs,2017,6046,14,0,2,3,9,67,17,46,4,0
Hillsboro Beach,2017,2025,1,0,0,1,0,24,5,18,1,0
Holly Hill,2017,12226,32,0,6,7,19,600,84,475,41,1
Hollywood,2017,153893,445,8,27,176,234,4661,722,3434,505,9
Holmes Beach,2017,4364,7,1,1,0,5,53,15,35,3,0
Homestead,2017,69276,671,1,25,251,394,2482,420,1883,179,9
Howey-in-the-Hills,2017,1195,2,0,0,0,2,12,5,7,0,0
Hypoluxo,2017,2763,8,0,3,2,3,73,5,59,9,0
Indialantic,2017,2919,4,0,0,1,3,72,13,56,3,2
Indian Creek Village,2017,92,0,0,0,0,0,2,1,1,0,0
Indian Harbour Beach,2017,8649,9,1,1,2,5,142,12,127,3,0
Indian River Shores,2017,4286,0,0,0,0,0,11,2,9,0,0
Indian Rocks Beach,2017,4351,6,0,5,1,0,92,12,75,5,0
Indian Shores,2017,3766,3,0,0,0,3,32,3,26,3,1
Jacksonville,2017,894638,5648,109,538,1376,3625,31551,5646,22980,2925,96
Jacksonville Beach,2017,23740,143,2,29,33,79,1029,105,842,82,2
Jasper,2017,4156,10,0,1,4,5,77,15,58,4,0
Jennings,2017,873,1,0,0,0,1,0,0,0,0,0
Juno Beach,2017,3629,3,0,0,0,3,62,6,55,1,1
Jupiter,2017,65311,103,4,14,22,63,1210,133,1019,58,5
Jupiter Inlet Colony,2017,462,1,0,0,0,1,1,0,0,1,0
Jupiter Island,2017,916,0,0,0,0,0,9,1,8,0,0
Kenneth City,2017,5125,20,0,7,3,10,135,15,114,6,3
Key Biscayne,2017,13127,2,0,0,0,2,153,9,132,12,0
Key Colony Beach,2017,861,0,0,0,0,0,15,2,13,0,0
Key West,2017,27399,101,3,8,15,75,809,107,622,80,0
Kissimmee,2017,71130,350,7,32,88,223,2104,314,1633,157,8
Lady Lake,2017,15151,21,0,0,2,19,254,26,193,35,0
Lake Alfred,2017,5899,1,0,0,0,1,69,18,51,0,0
Lake City,2017,12326,177,3,8,26,140,924,137,759,28,1
Lake Clarke Shores,2017,3611,4,0,0,1,3,67,16,47,4,0
Lake Hamilton,2017,1409,9,0,0,1,8,57,8,43,6,1
Lake Helen,2017,2758,0,0,0,0,0,31,7,24,0,0
Lakeland,2017,107927,307,1,73,89,144,4021,574,3237,210,3
Lake Mary,2017,16636,53,0,9,5,39,255,31,209,15,0
Lake Park,2017,8668,111,0,9,37,65,708,62,600,46,0
Lake Placid,2017,2272,11,0,2,1,8,87,14,71,2,0
Lake Wales,2017,16150,53,0,4,10,39,452,59,364,29,1
Lake Worth,2017,38305,494,6,43,213,232,1508,360,974,174,7
Lantana,2017,11322,71,0,8,24,39,591,66,460,65,0
Largo,2017,83728,365,1,71,97,196,2856,310,2315,231,4
Lauderdale-by-the-Sea,2017,6589,12,0,1,5,6,120,16,94,10,0
Lauderdale Lakes,2017,35144,302,2,14,93,193,1350,238,982,130,2
Lauderhill,2017,72406,664,18,20,187,439,2773,439,1956,378,6
Lawtey,2017,716,3,0,0,0,3,2,1,1,0,0
Leesburg,2017,22763,234,5,21,78,130,1319,256,977,86,3
Lighthouse Point,2017,11277,14,1,0,6,7,223,23,184,16,0
Live Oak,2017,6984,45,0,0,5,40,129,69,49,11,0
Longboat Key,2017,7400,2,2,0,0,0,59,8,51,0,0
Longwood,2017,15254,45,1,6,5,33,427,95,304,28,1
Lynn Haven,2017,21262,40,0,5,1,34,458,66,360,32,1
Madeira Beach,2017,4437,10,0,5,2,3,162,15,141,6,0
Madison,2017,2823,57,0,1,6,50,148,48,94,6,0
Maitland,2017,17830,35,0,5,6,24,389,66,295,28,1
Manalapan,2017,466,3,0,0,1,2,25,5,14,6,0
Mangonia Park,2017,2009,45,2,2,7,34,244,21,200,23,1
Marco Island,2017,18089,11,0,2,0,9,122,16,97,9,0
Margate,2017,58649,119,0,4,40,75,1046,188,735,123,0
Marianna,2017,9346,98,1,1,6,90,169,54,108,7,2
Mascotte,2017,5613,25,1,0,3,21,88,18,64,6,0
Medley,2017,844,16,0,0,0,16,217,27,154,36,0
Melbourne,2017,82013,670,4,63,121,482,3399,548,2679,172,11
Melbourne Beach,2017,3306,3,0,0,1,2,41,6,32,3,0
Melbourne Village,2017,708,1,0,0,0,1,11,0,11,0,0
Mexico Beach,2017,1211,5,0,0,0,5,74,17,56,1,0
Miami,2017,463009,3338,52,105,978,2203,18586,2440,14311,1835,73
Miami Beach,2017,92571,884,4,101,308,471,7587,706,6431,450,2
Miami Gardens,2017,114008,896,19,18,246,613,3722,492,2811,419,13
Miami Lakes,2017,31110,32,0,3,9,20,613,49,485,79,0
Miami Shores,2017,10808,25,0,3,12,10,567,74,441,52,1
Miami Springs,2017,14529,38,0,1,12,25,456,58,339,59,1
Midway,2017,3301,4,0,2,0,2,24,5,15,4,0
Milton,2017,10011,24,1,4,8,11,196,52,134,10,0
Minneola,2017,11370,27,0,5,8,14,126,33,83,10,0
Miramar,2017,141328,408,3,33,92,280,2246,292,1694,260,3
Monticello,2017,2385,11,0,0,1,10,55,24,29,2,0
Mount Dora,2017,14104,80,2,7,19,52,412,139,264,9,0
Naples,2017,22244,23,1,3,3,16,389,57,323,9,0
Neptune Beach,2017,7388,7,1,0,0,6,175,18,148,9,0
New Port Richey,2017,16388,139,0,12,22,105,535,106,401,28,4
New Smyrna Beach,2017,26230,102,2,3,5,92,748,149,547,52,2
Niceville,2017,15380,16,0,1,1,14,250,46,196,8,0
North Bay Village,2017,8463,14,0,2,1,11,136,10,97,29,0
North Lauderdale,2017,44137,231,4,24,63,140,966,201,639,126,1
North Miami,2017,62543,481,4,30,188,259,2618,395,1895,328,4
North Miami Beach,2017,44269,305,1,15,113,176,1814,245,1400,169,5
North Palm Beach,2017,13160,17,0,1,5,11,136,19,99,18,0
North Port,2017,65498,110,1,26,8,75,788,136,633,19,1
North Redington Beach,2017,1485,2,0,2,0,0,13,2,11,0,0
Oakland,2017,2949,9,0,1,0,8,63,22,38,3,0
Oakland Park,2017,44814,275,1,24,84,166,1776,308,1313,155,4
Ocala,2017,59731,468,4,54,117,293,3172,482,2537,153,10
Ocean Ridge,2017,1946,2,0,1,0,1,44,10,31,3,0
Ocoee,2017,46501,131,0,13,30,88,1362,270,1036,56,2
Okeechobee,2017,5701,3,1,0,0,2,286,26,246,14,0
Oldsmar,2017,14527,13,1,4,4,4,295,43,241,11,0
Opa Locka,2017,16668,325,4,9,87,225,944,162,659,123,6
Orange City,2017,11478,51,1,6,10,34,741,68,644,29,3
Orange Park,2017,8848,30,0,1,3,26,111,27,79,5,1
Orlando,2017,283982,2113,23,183,605,1302,15490,2388,11715,1387,22
Ormond Beach,2017,42625,202,0,10,25,167,1386,280,1003,103,4
Oviedo,2017,40391,79,1,22,7,49,408,97,303,8,1
Pahokee,2017,6149,75,1,11,3,60,230,40,176,14,3
Palatka,2017,10439,77,0,5,30,42,537,81,417,39,2
Palm Bay,2017,111275,561,7,41,50,463,2120,445,1524,151,7
Palm Beach,2017,8779,10,0,2,0,8,103,17,76,10,0
Palm Beach Gardens,2017,54677,66,2,9,28,27,1464,143,1259,62,2
Palm Beach Shores,2017,1253,6,0,0,1,5,43,23,19,1,0
Palmetto,2017,13581,89,1,8,19,61,395,69,309,17,1
Palmetto Bay,2017,24755,56,0,1,18,37,778,101,644,33,0
Palm Springs,2017,24300,137,1,13,37,86,1006,145,785,76,1
Panama City,2017,38135,332,5,4,53,270,2352,395,1752,205,5
Panama City Beach,2017,12987,109,1,12,13,83,938,122,811,5,3
Parker,2017,4667,25,0,9,3,13,145,36,99,10,0
Parkland,2017,32951,22,0,2,4,16,261,36,185,40,0
Pembroke Park,2017,6347,76,2,3,31,40,294,67,210,17,3
Pembroke Pines,2017,170923,321,1,27,85,208,3725,361,3054,310,6
Pensacola,2017,54072,319,0,29,69,221,2073,302,1680,91,4
Perry,2017,7051,87,0,11,11,65,234,66,159,9,0
Pinellas Park,2017,52635,229,2,31,53,143,2408,277,2014,117,5
Plantation,2017,93995,231,1,8,89,133,3087,381,2441,265,0
Plant City,2017,38798,206,0,16,38,152,1275,237,948,90,11
Pompano Beach,2017,111027,958,8,61,410,479,5330,898,3624,808,8
Ponce Inlet,2017,3253,0,0,0,0,0,51,6,38,7,0
Port Orange,2017,61892,32,1,0,5,26,1550,193,1252,105,1
Port Richey,2017,2836,14,0,2,2,10,160,11,145,4,1
Port St. Joe,2017,3479,17,0,1,2,14,58,22,32,4,0
Port St. Lucie,2017,188652,186,2,13,31,140,2126,309,1730,87,1
Punta Gorda,2017,19181,16,0,0,5,11,246,23,208,15,0
Quincy,2017,7623,83,1,4,18,60,287,96,180,11,0
Redington Beaches,2017,1493,0,0,0,0,0,12,1,11,0,0
Riviera Beach,2017,34536,473,11,19,72,371,1400,236,995,169,8
Rockledge,2017,27432,81,1,6,9,65,472,76,355,41,3
Royal Palm Beach,2017,38676,78,0,7,20,51,785,61,663,61,0
Safety Harbor,2017,17732,19,1,7,3,8,249,32,189,28,0
Sanford,2017,59457,415,9,53,95,258,2476,398,1944,134,2
Sanibel,2017,7505,5,0,2,0,3,56,9,47,0,0
Sarasota,2017,57383,323,1,26,87,209,1964,270,1582,112,2
Satellite Beach,2017,10954,8,0,3,1,4,94,14,71,9,0
Sea Ranch Lakes,2017,740,0,0,0,0,0,19,0,19,0,0
Sebastian,2017,25277,48,0,3,8,37,381,51,312,18,0
Sebring,2017,10679,68,2,5,12,49,538,129,395,14,2
Seminole,2017,18542,37,0,6,15,16,624,41,554,29,1
Sewall's Point,2017,2212,0,0,0,0,0,14,6,8,0,0
South Bay,2017,5152,41,1,3,4,33,149,28,111,10,1
South Daytona,2017,12882,44,0,1,11,32,366,108,224,34,1
South Miami,2017,12291,59,0,5,9,45,619,120,473,26,0
South Palm Beach,2017,1447,0,0,0,0,0,12,3,6,3,0
South Pasadena,2017,5137,3,0,0,1,2,149,7,137,5,0
Southwest Ranches,2017,7990,10,0,1,2,7,128,13,99,16,0
Springfield,2017,9593,31,1,5,2,23,370,62,274,34,0
Starke,2017,5413,42,0,0,4,38,179,26,137,16,1
St. Augustine,2017,14500,100,1,6,23,70,512,87,397,28,0
St. Augustine Beach,2017,7117,11,0,2,1,8,151,19,129,3,0
St. Cloud,2017,49791,86,1,21,8,56,592,101,466,25,2
St. Pete Beach,2017,9727,13,0,4,1,8,349,40,291,18,1
St. Petersburg,2017,263712,1842,20,136,499,1187,11373,1772,8623,978,48
Stuart,2017,16800,59,0,12,8,39,587,82,489,16,1
Sunny Isles Beach,2017,22290,23,0,4,7,12,344,20,286,38,2
